撲	扑
豄	渎
醕	醇
𫞾	篦
燫	熑
軣	轰
儼	俨
繆	缪
緼	缊
㳒	法
𫝷	座
鴰	鸹
铻	锟
冦	寇
襏	袯
輟	辍
踫	碰
頾	髭
輼	辒
鐨	镄
蔲	蔻
㛴	惱
陘	陉
倖	幸
泟	浾
伃	倢
響	响
钄	镧
繮	缰
貅	貔
緇	缁
泝	溯
鼴	鼹
伜	倅
傁	叟
釸	矽
剮	剐
絰	绖
蟝	螶
罰	罚
瀏	浏
靑	青
蹡	跄
顏	颜
𫖜	穆
約	约
釘	钉
𤋠	焰
鬠	髺
蕅	藕
敽	敿
輬	辌
駝	驼
皰	疱
剱	剑
漵	溆
贊	赞
𪟍	桶
𪄠	鷘
瘋	疯
侎	敉
訧	尤
辭	辞
𪸅	油
錒	锕
湹	瀍
亻	人
綉	绣
𧽯	䟅
喆	哲
擑	接
纎	纖
鑿	凿
維	维
瓖	镶
夶	比
眂	视
藍	蓝
爼	俎
礻	示
渖	瀋
勂	告
炨	灺
櫀	棋
萟	藝
㵼	瀉
凴	凭
鷉	鸊
嶇	岖
嶐	隆
錮	锢
駈	驱
曁	暨
礝	碝
唎	哩
掛	挂
迡	遲
翬	翚
銦	铟
駐	驻
帯	帶
孠	嗣
𪪹	勛
屶	会
爑	爝
𣿨	澥
緬	缅
鴌	凤
鐗	锏
鰱	鲢
摃	扛
歗	啸
偪	逼
渢	沨
銜	衔
𦙍	胤
菔	莱
𦒢	翱
缐	线
謹	谨
諒	谅
谿	溪
瘲	疭
璄	璟
嶣	嶕
癕	痈
軃	亸
殯	殡
郟	郏
鵖	鴔
槳	桨
𫔽	隋
𡓜	墻
耯	穫
厰	厂
𠀉	丘
屬	属
恖	思
曢	瞭
膆	嗉
𡎓	赫
𤆶	焚
翄	翅
甿	氓
駿	骏
脄	脢
纓	缨
畱	留
撾	挝
燺	熇
璵	玙
霔	澍
蓴	莼
齫	齳
蛿	蜭
涙	泪
枏	楠
偀	英
枽	枼
斆	敩
竸	竞
薚	蓫
諂	谄
鱑	鳇
嫋	袅
磦	㠒
𫏷	軖
愍	悯
襹	襳
鶘	鹕
孒	孓
咷	啕
壌	壤
諉	诿
霠	霒
𩩱	髂
壿	蹲
𫌋	裋
毜	毫
蹣	蹒
慻	眷
饋	馈
睤	睥
鯿	鳊
颕	颖
軁	偻
叜	叟
燈	灯
旛	幡
禝	稷
湻	淳
輭	软
蹸	躏
閳	阐
筰	笮
炁	气
濕	湿
𣶐	泡
璭	琯
蜳	螴
夑	燮
嚥	咽
顂	赖
蒔	莳
緦	缌
迯	逃
秌	秋
覉	羈
伖	帑
恿	怂
淛	浙
図	图
嚪	啖
𪾕	浣
岖	崎
㟯	峉
浄	净
崣	嶊
彜	彝
𫝹	念
璡	琎
尫	尪
懍	懔
釔	钇
駦	腾
雧	集
𪯨	產
旑	旖
牁	柯
拝	拜
夝	晴
垨	守
齟	龃
註	注
饌	馔
憒	愦
𫎦	贚
麊	麋
蚫	鲍
趲	趱
麹	麴
洜	洛
𫝇	命
𪴸	往
趕	赶
𣽏	污
𠀤	竝
𫍱	諯
褏	袖
鎋	辖
餬	糊
様	样
躭	耽
皜	皓
曠	旷
𫞴	祭
菕	芲
彫	雕
奮	奋
鷘	鶒
蠧	蠹
競	竞
攤	摊
棅	柄
㐂	喜
俛	俯
嘷	嗥
嬀	妫
囸	日
賘	赃
柡	栐
灮	光
𩱦	炒
毘	毗
測	测
輙	辄
膌	瘠
悺	悹
亣	大
農	农
繖	伞
魲	鲈
鎜	盘
塚	冢
鷆	鷏
躶	裸
傖	伧
𫖲	䫟
錚	铮
麫	麵
歓	欢
晜	昆
沍	冱
躼	軂
萞	蓖
巕	孽
覀	襾
紝	纴
暠	皓
㣥	偫
鬙	鬅
竚	伫
辳	农
犇	奔
𢙴	愛
鑲	镶
惽	愍
𢃛	帺
偂	前
銕	鐵
薀	蕰
䏝	胗
癵	癴
啓	啟
捛	旅
𠫎	初
𪰖	瞚
婔	斐
𠛢	割
檣	樯
阣	屹
蒨	茜
鍩	锘
阾	邻
纏	缠
逷	逖
麐	麟
運	运
亜	亚
笟	箍
踲	遁
迊	帀
𢑱	彜
舘	馆
𫟓	莟
惒	和
𪧘	寠
釒	金
臙	胭
秊	年
澁	涩
撃	击
碪	砧
鵞	鹅
𫟍	苑
鴵	枭
鷳	鹇
肊	臆
鐳	镭
陁	阤
點	点
餑	饽
